gallery_number,gallery_name,department,floor,wing,latitude,longitude
683,Musical Instruments,The André Mertens Galleries for Musical Instruments,2,,40.780209974,-73.96295181
684,Musical Instruments,The André Mertens Galleries for Musical Instruments,2,,40.780070181,-73.963188445
690,Independence and Identity: Selections from the Department of Drawings and Prints,,2,,40.779186733,-73.963454129
691,Gothic by Design: The Dawn of Architectural Draftsmanship,,2,,40.778829985,-73.963609985
692,Gothic by Design: The Dawn of Architectural Draftsmanship,,2,,40.77874446,-73.963613421
693,Gothic by Design: The Dawn of Architectural Draftsmanship,,2,,40.778707111,-73.963699582
700,The Charles Engelhard Court,,1,,40.780180919,-73.963457527
701,The Charles Engelhard Court—South End,,1,,40.78006015,-73.963545591
703,Anthony W. and Lulu C. Wang Galleries of Eighteenth-Century American Art,Anthony W. and Lulu C. Wang Galleries of Eighteenth-Century American Art,2,,40.78033321,-73.963122581
704,"Silver, Pewter, Ceramics, and Glass",,2,,40.780133246,-73.96327878
705,"Silver, Ceramics, and Glass",,2,,40.78006015,-73.963545591
706,"Silver, Ceramics, Glass, and Jewelry",,2,,40.780273522,-73.963612997
707,"American Ceramics, 1876–1956",,1M,,40.78026549,-73.963615606
708,"European Migration and North American Furniture, 1600-1730",The Anthony W. and Lulu C. Wang Galleries of Eighteenth-Century American Art,3,,40.780383216,-73.96318745
709,"Samuel Hart Room, ca. 1680",,3,,40.780435459,-73.963149354
710,Household Goods in Early America,Jan and Warren Adelson Gallery,3,,40.780455577,-73.963197102
711,"Wentworth Room, 1695–1700",,3,,40.780492496,-73.963253643
712,"New York Dutch Room, 1751",,3,,40.780490528,-73.963354111
713,Meetinghouse Gallery,,3,,40.780420637,-73.963283579
714,"Hewlett Room, 1740–60",,3,,40.780448164,-73.963385987
715,"New York Alcove, ca. 1750",,3,,40.780372628,-73.963319086
716,"Wentworth Staircase, 1695–1700",,3,,40.780353533,-73.963273769
717,Art in the Atlantic World,The Doris and Stanley Tananbaum Galleries,2,,40.780390176,-73.963305522
718,"Verplanck Room, 1767",The Doris and Stanley Tananbaum Galleries,2,,40.78045101,-73.963374587
719,Alexandria Ballroom,The Doris and Stanley Tananbaum Galleries,2,,40.780488128,-73.963293482
720,"Marmion Room, ca. 1756",The Doris and Stanley Tananbaum Galleries,2,,40.780446839,-73.963173955
721,Marmion Room Corridor,,2,,40.7804126,-73.963168742
722,"Powel Room, 1765–66",The Doris and Stanley Tananbaum Galleries,2,,40.780362686,-73.963211929
723,An Evolving Collection,,1,,40.78039935,-73.963298897
724,Baltimore Room,,1,,40.78045101,-73.963374587
725,"Benkard Room, ca. 1811",The Benkard Room,1,,40.780493333,-73.963305836
726,"Early Classical Style, 1810–20",,1,,40.780469007,-73.963248102
727,Needlework Samplers,,1,,40.780449608,-73.963202061
728,"Richmond Room, 1810–11",,1,,40.780430277,-73.963156184
729,"Haverhill Room, ca. 1805",,1,,40.780377961,-73.963201218
730,An Evolving Collection,,1,,40.780335956,-73.963231849
731,Global Trade and Cultural Exchange,,1,,40.780550989,-73.963188321
732,An Evolving Collection,,1,,40.780656762,-73.963116531
733,Neo-Classisism,,1,,40.780612286,-73.96307972
734,"Shaker Retiring Room, ca. 1830–40",,1,,40.780664375,-73.963024051
735,Vanderlyn Panorama,The Lawrence A. and Barbara Fleischman Gallery,1,,40.780701998,-73.963242697
736,"Art, Industry, and Innovation",Martha J. Fleischman Gallery,1,,40.780703015,-73.96341842
737,"Renaissance Revival Parlor, 1870",,1,,40.78064854,-73.963458146
738,Greek Revival Parlor,Richard and Gloria Manney Rooms,1,,40.780823512,-73.963432548
739,Rococo Revival Parlor,Richard and Gloria Manney Rooms,1,,40.780735889,-73.963496441
740,"Gothic Revival Library, 1859",,1,,40.780824569,-73.963549772
741,"McKim, Mead & White Stair Hall, 1882–84",,1,,40.780757741,-73.963598503
742,Worsham-Rockefeller Dressing Room,,1,,40.780681415,-73.963536169
743,"Aesthetic, Arts and Crafts, and Louis C. Tiffany",Deedee Wigmore Galleries,1,,40.78062718,-73.963657484
744,Gallery 744,,1,,40.780463881,-73.963482508
745,"The Frank Lloyd Wright Room, 1912–14",,1,,40.7804904,-73.963612381
747,The Calculated Curve: Eighteenth-Century American Furniture,,2,,40.7804174,-73.963061761
748,The Calculated Curve: Eighteenth-Century American Furniture,,2,,40.780491469,-73.963019602
749,The Calculated Curve: Eighteenth-Century American Furniture,,2,,40.780552956,-73.962962912
750,"Silver, 1660–1800",,2,,40.780614726,-73.962917869
751,The Calculated Curve: Eighteenth-Century American Furniture,,2,,40.780665117,-73.963037464
752,The Calculated Curve: Eighteenth-Century American Furniture,,2,,40.780607331,-73.963079602
753,The Calculated Curve: Eighteenth-Century American Furniture,,2,,40.780550758,-73.963120856
754,Portrait Miniatures by American Women Artists,Anthony W. and Lulu C. Wang Galleries of Eighteenth-Century American Art,2,,40.780529419,-73.963213744
755,American Identities,The Joan Whitney Payson Galleries,2,,40.780611221,-73.963257655
756,American Places,The Joan Whitney Payson Galleries,2,,40.780667795,-73.963216401
757,American Modernisms,Barbara and Martha Fleischman Gallery,2,,40.780723421,-73.963175838
758,Revolution!,,2,,40.780634098,-73.963358385
759,In Search of Wilderness,Jack and Susan Warner Gallery in the The Joan Whitney Payson Galleries,2,,40.780733757,-73.963285713
760,Exploration and Excavation,Peter Jay Sharp Foundation Gallery in the The Joan Whitney Payson Galleries,2,,40.78068219,-73.963472524
761,Escape into Nature,Thomas and Georgia Gosnell Gallery in the The Joan Whitney Payson Galleries,2,,40.780760292,-73.963363885
762,Civil War and Reconstruction Eras,Peter M. Sacerdote Gallery in The Joan Whitney Payson Galleries,2,,40.780790508,-73.963445918
763,On the World Stage: The Centennial Age,The Joan Whitney Payson Galleries,2,,40.780821952,-73.963520546
764,Art Worlds,The Joan Whitney Payson Galleries,2,,40.780730517,-73.963587221
765,The West,The Joan Whitney Payson Galleries,2,,40.780638201,-73.963654539
766,On the World Stage: The Columbia Exposition,The Joan Whitney Payson Galleries,2,,40.780547014,-73.963721032
767,Empires,,2,,40.780606756,-73.96357991
768,Americans Abroad and at Home,Richard and Maureen Chilton Gallery in the The Joan Whitney Payson Galleries,2,,40.78051557,-73.963646404
769,Artist Colonies,"Frank A. Cosgrove, Jr. Gallery in the The Joan Whitney Payson Galleries",2,,40.78047866,-73.963569231
770,On the World Stage: The Paris Exposition,,2,,40.780573882,-73.963501888
771,Gilded Age Portraiture,Terian Family Gallery in the The Joan Whitney Payson Galleries,2,,40.780541782,-73.963425703
772,Urban Realism,Jan and Warren Adelson Gallery in the The Joan Whitney Payson Galleries,2,,40.780463879,-73.96348251
773,Henry R. Luce Center for the Study of American Art Corridor,The Henry R. Luce Center for the Study of American Art,1M,,40.780476266,-73.963034732
774,Henry R. Luce Center for the Study of American Art,The Henry R. Luce Center for the Study of American Art,1M,,40.780661692,-73.963209172
800,Rodin and European Painting,B. Gerald Cantor Sculpture Gallery,2,,40.778644622,-73.963932162
801,Neoclassicism and Romanticism,The André Meyer Galleries,2,,40.778470777,-73.963734477
802,Barbizon School,The André Meyer Galleries,2,,40.778381442,-73.963799618
803,Corot,Janice H. Levin Gallery,2,,40.778295026,-73.96385116
804,European Vision of North Africa,Kenneth Jay Lane Gallery in the Henry J. Heinz II Galleries,2,,40.77820827,-73.963875415
805,The Rise of Plein-Air Oil Sketching and Landscape Painting about 1800,Henry J. Heinz II Galleries,2,,40.77820038,-73.963976442
806,Northern European Painters in Italy about 1800,Henry J. Heinz II Galleries,2,,40.778251463,-73.963939194
807,Northern European Landscape Painting,Christen Sveaas Gallery in the Henry J. Heinz II Galleries,2,,40.778282893,-73.964013787
808,Nineteenth-Century British Painting,Henry J. Heinz II Galleries,2,,40.77823181,-73.964051035
809,Courbet Portraits,,2,,40.778574448,-73.963917609
810,Manet and His Contemporaries,,2,,40.778485113,-73.963982749
811,Courbet,,2,,40.778382116,-73.964057851
812,Courbet,Henry J. Heinz II Galleries,2,,40.778295363,-73.964121194
813,"Fin de Siècle Art and Design: Wisteria Room, ca. 1914",,2,,40.778335709,-73.963947713
814,Degas Sculptures,The Havemeyer Galleries,2,,40.778398607,-73.963923425
815,Degas Paintings,The Havemeyer Galleries,2,,40.778445629,-73.963889138
816,Degas Pastels,The Havemeyer Galleries,2,,40.778492683,-73.963854828
817,"Degas, Manet, and Lautrec",The Havemeyer Galleries,2,,40.778534995,-73.963823975
818,Early Monet,The Annenberg Galleries,2,,40.778600118,-73.964020352
819,Monet Mid-to-Late Career,The Annenberg Galleries,2,,40.778643845,-73.964124128
820,Pissarro,The Annenberg Galleries,2,,40.778689201,-73.964231773
821,The Annenberg Collection: Nineteenth- and Twentieth-Century Masters,The Annenberg Galleries,2,,40.778524514,-73.96407548
822,The Annenberg Collection: Nineteenth- and Twentieth-Century Masters,The Annenberg Galleries,2,,40.778568241,-73.964179256
823,The Annenberg Collection: Nineteenth- and Twentieth-Century Masters,The Annenberg Galleries,2,,40.778613597,-73.964286901
824,Renoir and His Contemporaries,The Annenberg Galleries,2,,40.778434996,-73.964140753
825,"Van Gogh, Gauguin, and Seurat",The Annenberg Galleries,2,,40.778478722,-73.96424453
826,Cézanne,The Annenberg Galleries,2,,40.778524078,-73.964352174
827,Salon Painting,Henry J. Heinz II Galleries,2,,40.778339034,-73.96422484
828,"Bonnard, Vuillard",Florence Gould Gallery in the Henry J. Heinz II Galleries,2,,40.778355517,-73.964344632
829,Fin de Siècle Avant-Garde,Henry J. Heinz II Galleries,2,,40.778406601,-73.964307384
830,Early Picasso and Matisse,Henry J. Heinz II Galleries,2,,40.778423567,-73.964425464
850,Photographs from the Permanent Collection,"Robert Wood Johnson, Jr. Gallery",2,,40.77902799,-73.963601724
851,Contemporary Photographs,The Joyce and Robert Menschel Hall for Modern Photography,2,,40.778823425,-73.963842434
852,Lillian Bassman: Bazaar and Beyond,,2,,40.778642146,-73.963601385
900,Retreat II,The Sharp Gallery in the Leonard A. Lauder Galleries,1,,40.778577568,-73.964622692
901,Retreat I,Leonard A. Lauder Galleries,1,,40.778601295,-73.964679013
902,The Metropolis,Pierre and Maria-Gaetana Matisse Gallery in the Leonard A. Lauder Galleries,1,,40.778662656,-73.964824636
903,Work and Industry,Leonard A. Lauder Galleries,1,,40.778676626,-73.964928442
904,European Modernism,Jacques and Natasha Gelman Galleries in the Leonard A. Lauder Galleries,1,,40.778740373,-73.965022393
905,European Modernism,Jacques and Natasha Gelman Galleries in the Leonard A. Lauder Galleries,1,,40.778795842,-73.964934167
906,European Modernism,Jacques and Natasha Gelman Galleries in the Leonard A. Lauder Galleries,1,,40.778902986,-73.964903826
907,European Modernism,Jacques and Natasha Gelman Galleries in the Leonard A. Lauder Galleries,1,,40.7789947,-73.964836949
908,Avant-Garde,Muriel Kallis Steinberg Newman Gallery in the Leonard A. Lauder Galleries,1,,40.778817592,-73.96441846
909,Thomas Hart Benton's America Today,Leonard A. Lauder Galleries,1,,40.778710673,-73.964525637
910,Avant-Garde,The Esther Annenberg Simon Gallery in the Leonard A. Lauder Galleries,1,,40.778850739,-73.96449713
911,Direct Expression,Leonard A. Lauder Galleries,1,,40.778912097,-73.964642753
912,Abstraction,The Marietta Lutze Sackler Gallery in the Leonard A. Lauder Galleries,1,,40.779000639,-73.964692182
913,Abstraction,The Helen and Milton A. Kimmelman Gallery in the Leonard A. Lauder Galleries,1,,40.778844701,-73.964805889
914,Gallery 914,Lila Acheson Wallace Wing,1M,,40.778988672,-73.964663778
915,The Blanche and A.L. Levine Court for Modern and Contemporary Art,Blanche and A.L. Levine Court,1M,,40.778984307,-73.964844502
916,The Gioconda and Joseph King Gallery,The Gioconda and Joseph King Gallery in the Leonard A. Lauder Galleries,1M,,40.77866461,-73.964902876
917,Gallery 917,Lila Acheson Wallace Wing,2,,40.778491228,-73.964492066
918,Gallery 918,Lila Acheson Wallace Wing,2,,40.778541667,-73.96461177
919,Gallery 919,Donald and Vera Blinken Galleries,2,,40.77859885,-73.964747483
920,Gallery 920,Lila Acheson Wallace Wing,2,,40.778653384,-73.964913047
921,Gallery 921,Lila Acheson Wallace Wing,2,,40.778719642,-73.964864735
922,Gallery 922,Lila Acheson Wallace Wing,2,,40.778788657,-73.964814412
923,Gallery 923,Lila Acheson Wallace Wing,2,,40.778855508,-73.964765667
924,Gallery 924,Lila Acheson Wallace Wing,2,,40.778923899,-73.964715799
925,Gallery 925,Lila Acheson Wallace Wing,2,,40.778990216,-73.964667443
926,The Iris and B. Gerald Cantor Roof Garden,Annie Laurie Aitken Galleries,5,,40.778732933,-73.964560892
950,Maiolica,Robert Lehman Collection,1,,40.779958005,-73.964091171
951,Decorative Objects,Robert Lehman Collection,1,,40.779967856,-73.964166678
952,Fourteenth- and Fifteenth-Century Italian Paintings,Robert Lehman Collection,1,,40.779951796,-73.964240305
953,Northern Renaissance Paintings,Robert Lehman Collection,1,,40.779936086,-73.96431229
954,European Glass,Robert Lehman Collection,1,,40.779920504,-73.964383771
955,Robert Lehman Collection Gallery for Special Exhibitions ,Robert Lehman Collection,1,,40.779871074,-73.964478802
956,Fifteenth-Century Sienese Paintings,Robert Lehman Collection,1,,40.77978935,-73.964485745
957,Eighteenth- and Nineteenth-Century European Paintings,Robert Lehman Collection,1,,40.779737431,-73.96446616
958,Seventeenth-Century European Paintings,Robert Lehman Collection,1,,40.779682304,-73.964445426
959,Fifteenth-Century Central and Northern Italian Paintings/Flemish Tapestries,Robert Lehman Collection,1,,40.779622853,-73.964428034
960,Drawings Exhibition,Robert Lehman Collection,1,,40.779578091,-73.964377308
961,Nineteenth- and Twentieth-Century European Paintings,Robert Lehman Collection,1,,40.779646777,-73.96421052
962,Nineteenth- and Twentieth-Century European Paintings,Robert Lehman Collection,1,,40.779817124,-73.964086698
963,Nineteenth- and Twentieth-Century European Paintings,Robert Lehman Collection,G,,40.779760418,-73.964277618
980,Lizzie and Jonathan Tisch Gallery,Lizzie and Jonathan Tisch Gallery in the Anna Wintour Costume Center,G,,40.780043485,-73.96222916
981,Carl and Iris Barrel Apfel Gallery,Carl and Iris Barrel Apfel Gallery in the Anna Wintour Costume Center,G,,40.779870921,-73.96221378
746 North,The Magical City: George Morrison’s New York,,1,,40.780609142,-73.96337278
746 South,Art of Native America: The Charles and Valerie Diker Collection,,1,,40.780558658,-73.963518001
774a,Baseball Cards from the Collection of Jefferson R. Burdick,,1M,,40.780439235,-73.96357125
