gallery_number,gallery_name,department,floor,summary,latitude,longitude,is_closed,lm_id
8,Early Gothic Hall (The Cloisters),,1,Gallery 8,40.864851967,-73.932101909,False,2ecd3b9724732c815d59eb49d0ab798b
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
9,Gothic Chapel (The Cloisters),,G,Gallery 9,40.864718082,-73.932168068,False,ba5aa1e2aa3aab70b74cc0cb2dd41c0a
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
10,Glass Gallery (The Cloisters),,G,Gallery 10,40.864710233,-73.931957064,False,db127bf56e9fdc0f312f978b0b206448
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
11,Gallery 011,,G,Gallery 11,40.86458638,-73.932061597,False,458413f3522d754599cd22605f53a531
12,Trie Cloister (The Cloisters),,G,Gallery 12,40.86454021,-73.931836895,False,afbd467215a725d5f1a3d2cab3b54791
12,Trie Cloister (The Cloisters),,G,Gallery 12,40.86454021,-73.931836895,False,afbd467215a725d5f1a3d2cab3b54791
12,Trie Cloister (The Cloisters),,G,Gallery 12,40.86454021,-73.931836895,False,afbd467215a725d5f1a3d2cab3b54791
12,Trie Cloister (The Cloisters),,G,Gallery 12,40.86454021,-73.931836895,False,afbd467215a725d5f1a3d2cab3b54791
12,Trie Cloister (The Cloisters),,G,Gallery 12,40.86454021,-73.931836895,False,afbd467215a725d5f1a3d2cab3b54791
12,Trie Cloister (The Cloisters),,G,Gallery 12,40.86454021,-73.931836895,False,afbd467215a725d5f1a3d2cab3b54791
12,Trie Cloister (The Cloisters),,G,Gallery 12,40.86454021,-73.931836895,False,afbd467215a725d5f1a3d2cab3b54791
13,Treasury (The Cloisters),,G,Gallery 13,40.864637995,-73.931697916,False,3c5acb4af521ff9e91aaf63f4a584914
13,Treasury (The Cloisters),,G,Gallery 13,40.864637995,-73.931697916,False,3c5acb4af521ff9e91aaf63f4a584914
13,Treasury (The Cloisters),,G,Gallery 13,40.864637995,-73.931697916,False,3c5acb4af521ff9e91aaf63f4a584914
13,Treasury (The Cloisters),,G,Gallery 13,40.864637995,-73.931697916,False,3c5acb4af521ff9e91aaf63f4a584914
13,Treasury (The Cloisters),,G,Gallery 13,40.864637995,-73.931697916,False,3c5acb4af521ff9e91aaf63f4a584914
13,Treasury (The Cloisters),,G,Gallery 13,40.864637995,-73.931697916,False,3c5acb4af521ff9e91aaf63f4a584914
13,Treasury (The Cloisters),,G,Gallery 13,40.864637995,-73.931697916,False,3c5acb4af521ff9e91aaf63f4a584914
14,Treasury (The Cloisters),,G,Gallery 14,40.864720034,-73.931721181,False,e259e2a4197a58a55c39b391224a5f24
14,Treasury (The Cloisters),,G,Gallery 14,40.864720034,-73.931721181,False,e259e2a4197a58a55c39b391224a5f24
14,Treasury (The Cloisters),,G,Gallery 14,40.864720034,-73.931721181,False,e259e2a4197a58a55c39b391224a5f24
14,Treasury (The Cloisters),,G,Gallery 14,40.864720034,-73.931721181,False,e259e2a4197a58a55c39b391224a5f24
14,Treasury (The Cloisters),,G,Gallery 14,40.864720034,-73.931721181,False,e259e2a4197a58a55c39b391224a5f24
14,Treasury (The Cloisters),,G,Gallery 14,40.864720034,-73.931721181,False,e259e2a4197a58a55c39b391224a5f24
14,Treasury (The Cloisters),,G,Gallery 14,40.864720034,-73.931721181,False,e259e2a4197a58a55c39b391224a5f24
16,Boppard Room (The Cloisters),,1,Gallery 16,40.864673582,-73.931780712,False,e2c4b77c27eadbfff02dfd12b71d213e
16,Boppard Room (The Cloisters),,1,Gallery 16,40.864673582,-73.931780712,False,e2c4b77c27eadbfff02dfd12b71d213e
16,Boppard Room (The Cloisters),,1,Gallery 16,40.864673582,-73.931780712,False,e2c4b77c27eadbfff02dfd12b71d213e
16,Boppard Room (The Cloisters),,1,Gallery 16,40.864673582,-73.931780712,False,e2c4b77c27eadbfff02dfd12b71d213e
16,Boppard Room (The Cloisters),,1,Gallery 16,40.864673582,-73.931780712,False,e2c4b77c27eadbfff02dfd12b71d213e
16,Boppard Room (The Cloisters),,1,Gallery 16,40.864673582,-73.931780712,False,e2c4b77c27eadbfff02dfd12b71d213e
16,Boppard Room (The Cloisters),,1,Gallery 16,40.864673582,-73.931780712,False,e2c4b77c27eadbfff02dfd12b71d213e
17,Unicorn Tapestries Room (The Cloisters),,1,Gallery 17,40.864698651,-73.931915524,False,6a0b28a64c3708701d5912b544c78a2a
17,Unicorn Tapestries Room (The Cloisters),,1,Gallery 17,40.864698651,-73.931915524,False,6a0b28a64c3708701d5912b544c78a2a
17,Unicorn Tapestries Room (The Cloisters),,1,Gallery 17,40.864698651,-73.931915524,False,6a0b28a64c3708701d5912b544c78a2a
17,Unicorn Tapestries Room (The Cloisters),,1,Gallery 17,40.864698651,-73.931915524,False,6a0b28a64c3708701d5912b544c78a2a
17,Unicorn Tapestries Room (The Cloisters),,1,Gallery 17,40.864698651,-73.931915524,False,6a0b28a64c3708701d5912b544c78a2a
17,Unicorn Tapestries Room (The Cloisters),,1,Gallery 17,40.864698651,-73.931915524,False,6a0b28a64c3708701d5912b544c78a2a
17,Unicorn Tapestries Room (The Cloisters),,1,Gallery 17,40.864698651,-73.931915524,False,6a0b28a64c3708701d5912b544c78a2a
18,Nine Heroes Tapestries Room (The Cloisters),,1,Gallery 18,40.864737167,-73.932053713,False,09c734ea0cead85bc0c8cc7a7dec4259
18,Nine Heroes Tapestries Room (The Cloisters),,1,Gallery 18,40.864737167,-73.932053713,False,09c734ea0cead85bc0c8cc7a7dec4259
18,Nine Heroes Tapestries Room (The Cloisters),,1,Gallery 18,40.864737167,-73.932053713,False,09c734ea0cead85bc0c8cc7a7dec4259
18,Nine Heroes Tapestries Room (The Cloisters),,1,Gallery 18,40.864737167,-73.932053713,False,09c734ea0cead85bc0c8cc7a7dec4259
18,Nine Heroes Tapestries Room (The Cloisters),,1,Gallery 18,40.864737167,-73.932053713,False,09c734ea0cead85bc0c8cc7a7dec4259
18,Nine Heroes Tapestries Room (The Cloisters),,1,Gallery 18,40.864737167,-73.932053713,False,09c734ea0cead85bc0c8cc7a7dec4259
18,Nine Heroes Tapestries Room (The Cloisters),,1,Gallery 18,40.864737167,-73.932053713,False,09c734ea0cead85bc0c8cc7a7dec4259
19,Merode Room (The Cloisters),,1,Gallery 19,40.864715454,-73.931684697,False,07725c37ed8ba6e1ff2df098946656ec
19,Merode Room (The Cloisters),,1,Gallery 19,40.864715454,-73.931684697,False,07725c37ed8ba6e1ff2df098946656ec
19,Merode Room (The Cloisters),,1,Gallery 19,40.864715454,-73.931684697,False,07725c37ed8ba6e1ff2df098946656ec
19,Merode Room (The Cloisters),,1,Gallery 19,40.864715454,-73.931684697,False,07725c37ed8ba6e1ff2df098946656ec
19,Merode Room (The Cloisters),,1,Gallery 19,40.864715454,-73.931684697,False,07725c37ed8ba6e1ff2df098946656ec
19,Merode Room (The Cloisters),,1,Gallery 19,40.864715454,-73.931684697,False,07725c37ed8ba6e1ff2df098946656ec
19,Merode Room (The Cloisters),,1,Gallery 19,40.864715454,-73.931684697,False,07725c37ed8ba6e1ff2df098946656ec
20,Late Gothic Hall (The Cloisters),,1,Gallery 20,40.86484146,-73.931687993,False,362c0feb065e16dadb6b1f2c58ebb0c1
20,Late Gothic Hall (The Cloisters),,1,Gallery 20,40.86484146,-73.931687993,False,362c0feb065e16dadb6b1f2c58ebb0c1
20,Late Gothic Hall (The Cloisters),,1,Gallery 20,40.86484146,-73.931687993,False,362c0feb065e16dadb6b1f2c58ebb0c1
20,Late Gothic Hall (The Cloisters),,1,Gallery 20,40.86484146,-73.931687993,False,362c0feb065e16dadb6b1f2c58ebb0c1
20,Late Gothic Hall (The Cloisters),,1,Gallery 20,40.86484146,-73.931687993,False,362c0feb065e16dadb6b1f2c58ebb0c1
20,Late Gothic Hall (The Cloisters),,1,Gallery 20,40.86484146,-73.931687993,False,362c0feb065e16dadb6b1f2c58ebb0c1
20,Late Gothic Hall (The Cloisters),,1,Gallery 20,40.86484146,-73.931687993,False,362c0feb065e16dadb6b1f2c58ebb0c1
100,The Entrance to the Art of Ancient Egypt,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 100,40.779530879,-73.962610951,False,9d93e8e08010fe2c95ee86b3aa04bee9
100,The Entrance to the Art of Ancient Egypt,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 100,40.779530879,-73.962610951,False,9d93e8e08010fe2c95ee86b3aa04bee9
100,The Entrance to the Art of Ancient Egypt,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 100,40.779530879,-73.962610951,False,9d93e8e08010fe2c95ee86b3aa04bee9
100,The Entrance to the Art of Ancient Egypt,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 100,40.779530879,-73.962610951,False,9d93e8e08010fe2c95ee86b3aa04bee9
100,The Entrance to the Art of Ancient Egypt,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 100,40.779530879,-73.962610951,False,9d93e8e08010fe2c95ee86b3aa04bee9
100,The Entrance to the Art of Ancient Egypt,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 100,40.779530879,-73.962610951,False,9d93e8e08010fe2c95ee86b3aa04bee9
100,The Entrance to the Art of Ancient Egypt,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 100,40.779530879,-73.962610951,False,9d93e8e08010fe2c95ee86b3aa04bee9
101,Predynastic and Early Dynastic Egypt ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 101,40.779444022,-73.962525077,False,a61a0142439ed162e70bb4d1b80cfefc
101,Predynastic and Early Dynastic Egypt ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 101,40.779444022,-73.962525077,False,a61a0142439ed162e70bb4d1b80cfefc
101,Predynastic and Early Dynastic Egypt ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 101,40.779444022,-73.962525077,False,a61a0142439ed162e70bb4d1b80cfefc
101,Predynastic and Early Dynastic Egypt ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 101,40.779444022,-73.962525077,False,a61a0142439ed162e70bb4d1b80cfefc
101,Predynastic and Early Dynastic Egypt ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 101,40.779444022,-73.962525077,False,a61a0142439ed162e70bb4d1b80cfefc
101,Predynastic and Early Dynastic Egypt ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 101,40.779444022,-73.962525077,False,a61a0142439ed162e70bb4d1b80cfefc
101,Predynastic and Early Dynastic Egypt ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 101,40.779444022,-73.962525077,False,a61a0142439ed162e70bb4d1b80cfefc
102,Tomb Chapel (mastaba) of Raemkai ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 102,40.779552838,-73.962535606,False,58e0bf96afe3c74aaa37017e0715f150
102,Tomb Chapel (mastaba) of Raemkai ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 102,40.779552838,-73.962535606,False,58e0bf96afe3c74aaa37017e0715f150
102,Tomb Chapel (mastaba) of Raemkai ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 102,40.779552838,-73.962535606,False,58e0bf96afe3c74aaa37017e0715f150
102,Tomb Chapel (mastaba) of Raemkai ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 102,40.779552838,-73.962535606,False,58e0bf96afe3c74aaa37017e0715f150
102,Tomb Chapel (mastaba) of Raemkai ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 102,40.779552838,-73.962535606,False,58e0bf96afe3c74aaa37017e0715f150
102,Tomb Chapel (mastaba) of Raemkai ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 102,40.779552838,-73.962535606,False,58e0bf96afe3c74aaa37017e0715f150
102,Tomb Chapel (mastaba) of Raemkai ,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 102,40.779552838,-73.962535606,False,58e0bf96afe3c74aaa37017e0715f150
103,The Old Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 103,40.779673018,-73.962358092,False,35de8a16e0cdbffce921f8497c99486a
103,The Old Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 103,40.779673018,-73.962358092,False,35de8a16e0cdbffce921f8497c99486a
103,The Old Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 103,40.779673018,-73.962358092,False,35de8a16e0cdbffce921f8497c99486a
103,The Old Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 103,40.779673018,-73.962358092,False,35de8a16e0cdbffce921f8497c99486a
103,The Old Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 103,40.779673018,-73.962358092,False,35de8a16e0cdbffce921f8497c99486a
103,The Old Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 103,40.779673018,-73.962358092,False,35de8a16e0cdbffce921f8497c99486a
103,The Old Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 103,40.779673018,-73.962358092,False,35de8a16e0cdbffce921f8497c99486a
104,The Beginning of the Middle Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 104,40.779870921,-73.96221378,False,36be31b9a684f9d2ee5182aec85489a3
104,The Beginning of the Middle Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 104,40.779870921,-73.96221378,False,36be31b9a684f9d2ee5182aec85489a3
104,The Beginning of the Middle Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 104,40.779870921,-73.96221378,False,36be31b9a684f9d2ee5182aec85489a3
104,The Beginning of the Middle Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 104,40.779870921,-73.96221378,False,36be31b9a684f9d2ee5182aec85489a3
104,The Beginning of the Middle Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 104,40.779870921,-73.96221378,False,36be31b9a684f9d2ee5182aec85489a3
104,The Beginning of the Middle Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 104,40.779870921,-73.96221378,False,36be31b9a684f9d2ee5182aec85489a3
104,The Beginning of the Middle Kingdom,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 104,40.779870921,-73.96221378,False,36be31b9a684f9d2ee5182aec85489a3
105,The Tomb of Meketre,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 105,40.779919675,-73.96204547,False,47bcc74e951a2fec6ee23a9113a2d890
105,The Tomb of Meketre,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 105,40.779919675,-73.96204547,False,47bcc74e951a2fec6ee23a9113a2d890
105,The Tomb of Meketre,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 105,40.779919675,-73.96204547,False,47bcc74e951a2fec6ee23a9113a2d890
105,The Tomb of Meketre,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 105,40.779919675,-73.96204547,False,47bcc74e951a2fec6ee23a9113a2d890
105,The Tomb of Meketre,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 105,40.779919675,-73.96204547,False,47bcc74e951a2fec6ee23a9113a2d890
105,The Tomb of Meketre,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 105,40.779919675,-73.96204547,False,47bcc74e951a2fec6ee23a9113a2d890
105,The Tomb of Meketre,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 105,40.779919675,-73.96204547,False,47bcc74e951a2fec6ee23a9113a2d890
106,The Early Middle Kingdom Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 106,40.77981525,-73.962082173,False,053b46bbc1c3c894be746a3fad1dfa4d
106,The Early Middle Kingdom Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 106,40.77981525,-73.962082173,False,053b46bbc1c3c894be746a3fad1dfa4d
106,The Early Middle Kingdom Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 106,40.77981525,-73.962082173,False,053b46bbc1c3c894be746a3fad1dfa4d
106,The Early Middle Kingdom Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 106,40.77981525,-73.962082173,False,053b46bbc1c3c894be746a3fad1dfa4d
106,The Early Middle Kingdom Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 106,40.77981525,-73.962082173,False,053b46bbc1c3c894be746a3fad1dfa4d
106,The Early Middle Kingdom Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 106,40.77981525,-73.962082173,False,053b46bbc1c3c894be746a3fad1dfa4d
106,The Early Middle Kingdom Study Room,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 106,40.77981525,-73.962082173,False,053b46bbc1c3c894be746a3fad1dfa4d
107,The Early Middle Kingdom Gallery,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 107,40.779962835,-73.962146752,False,31d523b117f9bd605fa6dda9c52d85cb
107,The Early Middle Kingdom Gallery,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 107,40.779962835,-73.962146752,False,31d523b117f9bd605fa6dda9c52d85cb
107,The Early Middle Kingdom Gallery,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 107,40.779962835,-73.962146752,False,31d523b117f9bd605fa6dda9c52d85cb
107,The Early Middle Kingdom Gallery,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 107,40.779962835,-73.962146752,False,31d523b117f9bd605fa6dda9c52d85cb
107,The Early Middle Kingdom Gallery,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 107,40.779962835,-73.962146752,False,31d523b117f9bd605fa6dda9c52d85cb
107,The Early Middle Kingdom Gallery,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 107,40.779962835,-73.962146752,False,31d523b117f9bd605fa6dda9c52d85cb
107,The Early Middle Kingdom Gallery,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 107,40.779962835,-73.962146752,False,31d523b117f9bd605fa6dda9c52d85cb
108,From the Pyramid Complex of King Amenemhat I at Lisht North,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 108,40.780024653,-73.962101673,False,0e4e0b93e714a53b9923c959fde01d7b
108,From the Pyramid Complex of King Amenemhat I at Lisht North,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 108,40.780024653,-73.962101673,False,0e4e0b93e714a53b9923c959fde01d7b
108,From the Pyramid Complex of King Amenemhat I at Lisht North,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 108,40.780024653,-73.962101673,False,0e4e0b93e714a53b9923c959fde01d7b
108,From the Pyramid Complex of King Amenemhat I at Lisht North,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 108,40.780024653,-73.962101673,False,0e4e0b93e714a53b9923c959fde01d7b
108,From the Pyramid Complex of King Amenemhat I at Lisht North,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 108,40.780024653,-73.962101673,False,0e4e0b93e714a53b9923c959fde01d7b
108,From the Pyramid Complex of King Amenemhat I at Lisht North,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 108,40.780024653,-73.962101673,False,0e4e0b93e714a53b9923c959fde01d7b
108,From the Pyramid Complex of King Amenemhat I at Lisht North,Lila Acheson Wallace Galleries of Egyptian Art,1,Gallery 108,40.780024653,-73.962101673,False,0e4e0b93e714a53b9923c959fde01d7b
